slug,Show,Type,IP Owner,Streaming,YT Channel,YT Subs,Uploads,Created,YT Views (top 600 videos),YT Views (last 30 days),YT Views/Sub,Estimated Yearly Views,Estimated YT Yearly Earnings,FB Channel,FB followers,FB post frequency (last 2 weeks),Estimated FB Yearly Earnings,Estimated Total Earnings,Seasons,Episodes,Notes,Genre
rick_and_morty,Rick & Morty,Show,WBD,Max,Adult Swim,,,,,,,,,https://www.facebook.com/RickandMorty,4.7M,6,,,,,,
sabrina_the_teenage_witch,Sabrina The Teenage Witch,Show,CBS,Paramount+,https://www.youtube.com/@sabrinatheteenagewitch,66K,642,2/16/2023,47.7M,0.3M,4.3,3.4M,"$6,860 ",https://www.facebook.com/SabrinaTheTeenageWitchTV,0.5M,0,"$6,860 ","$13,721 ",,,,
sally_jesse_raphael,Sally Jesse Raphael,Show,NBCU,Peacock,Nosey,,,,,,,,,N/A,,,,,,,Full episodes on Nosey. SJR has her personal FB page but no page for the show.,
say_yes_to_the_dress,Say Yes To The Dress,Show,WBD,Max,https://www.youtube.com/@SayYestotheDress,"2,010K","1,300",6/26/2018,"1,600.0M",10.0M,5,119.6M,"$239,256 ",https://www.facebook.com/SayYesToTheDress,2.3M,6,"$239,256 ","$478,512 ",,,YT - UK,
scrubs,,,,,,,,,,,,,,,,,,,,,,
seinfeld,Seinfeld,Show,Sony,Netflix,https://www.youtube.com/@SeinfeldTV,199K,563,8/19/2021,,8.6M,43.2,103.1M,"$206,208 ",https://www.facebook.com/seinfeld/,4.3M,4,"$206,208 ","$412,416 ",,,,
sex_and_the_city,Sex and The City,Show,WBD,Max,https://www.youtube.com/@SEXANDTHECITYCLIPS`,51K,296,7/14/2018,338.0M,0.7M,13.1,8.0M,"$15,922 ",N/A,,,,"$15,922 ",,,"YT fan channel, not official. Clips on HBO YT.",
shahs_of_sunset,Shash of Sunset,Show,NBCU,Peacock,Bravo,,,,,,,,,https://www.facebook.com/ShahsOfSunset,0.4M,1,,,,,,
shark_tank,Shark Tank,Show,Disney,Disney+/Hulu,https://www.youtube.com/@SharkTankGlobal,"1,140K",861,2/6/2020,,10.6M,9.3,127.1M,"$254,112 ",https://www.facebook.com/SharkTank,2.4M,10,"$254,112 ","$508,224 ",,,,
sister_wives,Sister Wives,Show,WBD,Max,TLC,,,,36.0M,,,0.0M,,https://www.facebook.com/sisterwives,1.1M,0,$0 ,$0 ,19,209,Clips on Discovery YT,
six_feet_under,Six Feet Under,Show,WBD,Max,HBO,,,,,,,0.0M,,https://www.facebook.com/SixFeetUnderHBO,0.7M,0,$0 ,$0 ,,,Clips on HBO YT.,
south_park,South Park,Show,CBS,Max,https://www.youtube.com/@southpark,"2,300K",712,11/10/2006,,10.3M,4.5,123.6M,"$247,104 ",https://www.facebook.com/southpark,38.0M,10,"$247,104 ",,,,,
southern_charm,Southern Charm,Show,NBCU,Peacock,Bravo,,,,,,,,,https://www.facebook.com/SouthernCharmBravo,0.4M,3,$0 ,$0 ,,,Clips on Bravo YT.,
storage_wars,Storage Wars,Show,A+E,,,,,,,,,,,https://www.facebook.com/StorageWars,3.5M,10,0,$0 ,,,,
street_outlaws,Street Outlaws,Show,WBD,Max,Discovery Australia,,,,97.0M,,,0.0M,,https://www.facebook.com/StreetOutlaws,3.2M,0,$0 ,$0 ,15,157,Clips on Discovery YT,
suits,Suits,Show,NBCU,Peacock,https://www.youtube.com/@Suits,428K,939,5/14/2014,,16.7M,39,200.4M,"$400,824 ",https://www.facebook.com/SuitsPeacock,3.9M,4,,,,,,
survivor,Survivor,Show,CBS,Paramount+,,455K,"1,166",3/18/2013,,1.1M,2.4,13.2M,"$26,400 ",https://www.facebook.com/Survivor,3.1M,10,"$26,400 ","$52,800 ",,,,
temptation_island,Temptation Island,Show,Banijay,Peacock,USA YT,,,,,,,,,https://www.facebook.com/temptationislandusa,0.9M,0,$0 ,$0 ,,,Clips on USA YT,
the_amazing_race,Amazing Race,Show,CBS,Paramount+,,77K,"1,313",1/26/2023,,5.4M,70.1,64.8M,"$129,600 ",https://www.facebook.com/amazingrace,1.4M,0,"$129,600 ","$259,200 ",,,,
the_bachelor,The Bachelor,Show,Disney,Disney+/Hulu,https://www.youtube.com/@BachelorNation,225K,"3,500",8/25/2017,,2.8M,12.4,33.5M,"$66,960 ",https://www.facebook.com/TheBachelor,2.0M,10,"$66,960 ","$133,920 ",,,,
the_big_bang_theory,Big Bang Theory,Show,WBD,Max,https://www.youtube.com/@bigbangtheory,130K,784,7/18/2022,,44.9M,345.3,538.7M,"$1,077,384 ",https://www.facebook.com/TheBigBangTheory,27.0M,4,"$1,077,384 ","$2,154,768 ",,,,
the_brady_bunch,The Brady Bunch,Show,CBS,Paramount+,,22K,598,6/8/2023,115.9M,0.6M,27.3,7.2M,"$14,400 ",https://www.facebook.com/TheBradyBunch,0.4M,10,"$14,400 ","$28,800 ",,,,
the_curse_of_oak_island,The Curse of Oak Island,Show,History,,,,,,,,,,,https://www.facebook.com/CurseofOakIsland,1.0M,5,0,$0 ,,,,
the_drew_barrymore_show,The Drew Barrymore Show,Show,CBS,Paramount+,,"1,290K","4,905",7/30/2019,,10.2M,7.9,122.4M,"$244,800 ",https://www.facebook.com/TheDrewBarrymoreShow,3.2M,10,"$244,800 ","$489,600 ",,,,
the_fbi_files,FBI Files,Show,Independent (New Dominon),,https://www.youtube.com/@TheFBIFiles/videos,946K,524,9/12/2019,277.6M,3.4M,3.6,40.8M,"$81,600 ",https://www.facebook.com/TheFBIFiles,0.3M,0,,,,,Managed by Little Dot. YT looks active but FB is inactive as of 10/2024,
the_first_48,The First 48,Show,A+E,,,,,,,,,,,https://www.facebook.com/thefirst48,2.8M,0,0,$0 ,,,,
the_gentle_art_of_swedish_death_cleaning,The Gentle Art of Swedish Death Cleaning,Show,NBCU,Peacock,???,,,,,,,,,N/A,,,$0 ,$0 ,,,,
