video_id	show_slug	is_ugc	ugc_type	curated_label
V5lqTLqmI0Q	the_sopranos	1		
AHj6uwehCZo	the_sopranos	1		
6krZH6FTjbQ	the_sopranos	1		
k5zWcdX5DPo	the_sopranos	1		
SrJUwsK0AMg	the_sopranos	1		
CRq9lEu_0Es	the_sopranos	1		
zY2CHliRzAU	the_sopranos	1		
3zFe5RfLZi8	the_sopranos	1		
Vy7tMx6ix8g	the_sopranos	1		
4YiIcQDIt18	the_sopranos	1		
MeW5xwcb47A	the_sopranos	1		
djpi1HHQucM	the_sopranos	1		
gIk-AQ0MdSI	the_sopranos	1		
D0pq_IXKcrY	the_sopranos	1		
yRyw6GMRy8w	the_sopranos	1		
1te7hH6SRJY	the_sopranos	1		
hCBUOVJ0YLc	the_sopranos	1		
bzVeLjj6Ao8	the_sopranos	1		
wlJWxSKPZWI	the_sopranos	1		
hWWuUvl5H5I	the_sopranos	1		
hnLnvU8DjBY	the_sopranos	1		
mvAE6Dw768A	the_sopranos	1		
R84_lv8lWSI	the_sopranos	1		
Hqp1bGuiHHs	the_sopranos	1		
suJDYgNcPdY	the_sopranos	1		
FM0Q7qHtkMQ	the_sopranos	1		
cSUFaSVPCRQ	the_sopranos	1		
sWABpYa4Y6E	the_sopranos	1		
1x9YACdBUrU	the_sopranos	1		
Zn5BGnx80NE	the_sopranos	1		
muS3adntVf0	the_sopranos	1		
hmLJNf4AveM	the_sopranos	1		
sbXIR6N9-8U	the_sopranos	1		
DjhO3NFfqUc	the_sopranos	1		
EaCvFNH28lo	the_sopranos	1		
nIXhBkcobm0	the_sopranos	1		
cJYfyzYufes	the_sopranos	1		
XA9f44QHEg4	the_sopranos	1		
iicxbxHqZ88	the_sopranos	1		
z7DTRubLM3k	the_sopranos	1		
6KeUp_Aw7yY	the_sopranos	1		
pSoeSscFZX0	the_sopranos	1		
NW3vipCS_Xk	the_sopranos	1		
sG9QhhWptFU	the_sopranos	1		
